Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
The Boeing Company: Boeing Plant 2 - Seattle,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,24004,0,23980,11,13,0,0,0,0,,1,"(47.532524, -122.311623)","(47.532524, -122.311623)",47.532524,-122.311623,POINT (-122.311623 47.532524),3009,9,17
CenTrio Energy Seattle LLC - Seattle,2021,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,66365,0,66297,31,37,0,0,0,0,,2,"(47.6068, -122.340179)","(47.6068, -122.340179)",47.6068,-122.340179,POINT (-122.340179 47.6068),3009,7,4
Gas Transmission Northwest Compressor Station 8 - Wallula,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,135772,0,132361,3337,74,0,0,0,0,,3,"(46.053153, -118.843934)","(46.053153, -118.843934)",46.053153,-118.843934,POINT (-118.843934 46.053153),2743,4,23
Central Washington University - Ellensburg,2012,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13358,0,13344,6,7,0,0,0,0,,1,"(47.003202, -120.544513)","(47.003202, -120.544513)",47.003202,-120.544513,POINT (-120.544513 47.003202),3194,8,19
Inland Empire Paper Company - Spokane,2012,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,36152,17985,17755,162,250,0,0,0,0,,2,"(47.688295, -117.279323)","(47.688295, -117.279323)",47.688295,-117.279323,POINT (-117.279323 47.688295),3214,5,5
Simplot Feeders LTD. - Burbank,2019,Livestock,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,32157,0,1072,2335,28750,0,0,0,0,First year reporting emissions from onsite combustion.,2,"(46.133131, -118.90629)","(46.133131, -118.90629)",46.133131,-118.90629,POINT (-118.90629 46.133131),2743,4,23
Gas Transmission Northwest Compressor Station 6 - Rosalia,2021,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,75387,0,74694,652,42,0,0,0,0,,2,"(47.277256, -117.406737)","(47.277256, -117.406737)",47.277256,-117.406737,POINT (-117.406737 47.277256),3214,5,13
Puget Sound Energy - Ferndale Generating Station - Ferndale,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,478280,0,477794,222,264,0,0,0,0,,3,"(48.828707, -122.685533)","(48.828707, -122.685533)",48.828707,-122.685533,POINT (-122.685533 48.828707),2744,1,44
Tree Top - Prosser,2021,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,15112,0,15097,7,8,0,0,0,0,,1,"(46.21842, -119.73397)","(46.21842, -119.73397)",46.21842,-119.73397,POINT (-119.73397 46.21842),2955,4,23
Avista Corporation - WA State DOE Reporting - statewide,2017,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,17779,0,19,15596,0,0,0,2164,0,Currently Undergoing Verification.,1,"(47.673486, -117.388514)","(47.673486, -117.388514)",47.673486,-117.388514,POINT (-117.388514 47.673486),3214,5,3
