Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Puget Sound Energy - Sumas Generating Station - Sumas,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,250238,0,249977,119,142,0,0,0,0,,3,"(48.9905, -122.2733)","(48.9905, -122.2733)",48.9905,-122.2733,POINT (-122.2733 48.9905),2744,1,44
Northwest Pipeline C/S - Sumner,2016,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,The Williams Companies Inc.,Sumner,Pierce,Puget Sound Clean Air Agency,46614,0,46043,545,26,0,0,0,0,,2,"(47.228986, -122.209551)","(47.228986, -122.209551)",47.228986,-122.209551,POINT (-122.209551 47.228986),3210,8,15
Guy Bennett Lumber Company - Clarkston,2021,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,15731,15524,0,30,178,0,0,0,0,,1,"(46.423108, -117.086487)","(46.423108, -117.086487)",46.423108,-117.086487,POINT (-117.086487 46.423108),2745,5,13
Gas Transmission Northwest Compressor Station 8 - Wallula,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,111325,0,108440,2824,61,0,0,0,0,,3,"(46.053153, -118.843934)","(46.053153, -118.843934)",46.053153,-118.843934,POINT (-118.843934 46.053153),2743,4,23
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2015,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71151,68501,1734,132,784,0,0,0,0,,2,"(48.613175, -118.116106)","(48.613175, -118.116106)",48.613175,-118.116106,POINT (-118.116106 48.613175),2741,5,10
WaferTech LLC - Camas,2019,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,88223,0,14214,7,5154,8320,26607,9487,24436,,2,"(45.619569, -122.454955)","(45.619569, -122.454955)",45.619569,-122.454955,POINT (-122.454955 45.619569),2977,3,25
Michelsen Packaging - Yakima,2021,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10481,0,10470,5,6,0,0,0,0,,1,"(46.604058, -120.513015)","(46.604058, -120.513015)",46.604058,-120.513015,POINT (-120.513015 46.604058),2746,4,20
Northwest Pipeline C/S - Chehalis,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,3980,0,2903,1076,1,0,0,0,0,,1,"(46.533325, -122.87373)","(46.533325, -122.87373)",46.533325,-122.87373,POINT (-122.87373 46.533325),3196,3,27
Hampton Lumber Mills Washington Inc. - Darrington,2018,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,86688,85545,0,164,978,0,0,0,0,,2,"(48.262797, -121.597608)","(48.262797, -121.597608)",48.262797,-121.597608,POINT (-121.597608 48.262797),3213,1,41
"Interfor US, Inc. - Forks",2013,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Interfor US Inc.,Forks,Clallam,Olympic Region Clean Air Agency,27296,26712,0,228,356,0,0,0,0,,2,"(47.971946, -124.399193)","(47.971946, -124.399193)",47.971946,-124.399193,POINT (-124.399193 47.971946),2976,6,30
Nippon Dynawave - Longview,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Weyerhaeuser Co.,Longview,Cowlitz,Ecology: Industrial Section,1532282,1218099,306756,1614,5814,0,0,0,0,Formerly included North Pacific Paper Company before 2016.,4,"(46.130495, -122.983637)","(46.130495, -122.983637)",46.130495,-122.983637,POINT (-122.983637 46.130495),2978,3,26
Steelscape - Kalama,2021,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,,Kalama,Cowlitz,Southwest Clean Air Agency,22183,0,22160,11,13,0,0,0,0,,1,"(46.04326, -122.871703)","(46.04326, -122.871703)",46.04326,-122.871703,POINT (-122.871703 46.04326),2978,3,27
Puget Sound Energy - Frederickson Generating Station - Tacoma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,30729,0,30696,15,19,0,0,0,0,,2,"(47.079716, -122.364711)","(47.079716, -122.364711)",47.079716,-122.364711,POINT (-122.364711 47.079716),3210,10,35
University of Washington Seattle Campus - Seattle,2018,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,92022,0,91926,44,52,0,0,0,0,,2,"(47.653614, -122.303608)","(47.653614, -122.303608)",47.653614,-122.303608,POINT (-122.303608 47.653614),3009,7,4
bp Cherry Point Refinery - Blaine,2017,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,,Blaine,Whatcom,Northwest Clean Air Agency,2060243,0,2048575,7166,4502,0,0,0,0,Assigned emissions level to account for calculation methodology changes to coke calcining units and delayed coking unit.,5,"(48.8864, -122.7353)","(48.8864, -122.7353)",48.8864,-122.7353,POINT (-122.7353 48.8864),2744,1,44
Alcoa Intalco Works - Ferndale,2012,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1146835,0,412832,11814,30,0,722159,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)","(48.8455, -122.7055)",48.8455,-122.7055,POINT (-122.7055 48.8455),2744,1,44
Puget Sound Energy - Whitehorn Generating Station - Blaine,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,44531,0,44485,21,25,0,0,0,0,,2,"(48.885475, -122.724299)","(48.885475, -122.724299)",48.885475,-122.724299,POINT (-122.724299 48.885475),2744,1,44
Seattle-Tacoma International Airport - Seattle,2017,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14791,0,14776,7,8,0,0,0,0,,1,"(47.443643, -122.302452)","(47.443643, -122.302452)",47.443643,-122.302452,POINT (-122.302452 47.443643),3009,9,36
"Solvay Chemicals, Inc. - Longview",2012,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,48881,0,48881,0,0,0,0,0,0,,2,"(46.137218, -122.982847)","(46.137218, -122.982847)",46.137218,-122.982847,POINT (-122.982847 46.137218),2978,3,26
Frederickson Power LP - Tacoma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,139141,0,138999,65,77,0,0,0,0,,3,"(47.086342, -122.365686)","(47.086342, -122.365686)",47.086342,-122.365686,POINT (-122.365686 47.086342),3210,10,35
Northwest Hardwoods Inc. - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,15486,10615,4725,23,124,0,0,0,0,,1,"(46.734454, -122.991963)","(46.734454, -122.991963)",46.734454,-122.991963,POINT (-122.991963 46.734454),3196,3,27
"Tyson Fresh Meats, Inc. - Wallula",2013,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,65322,0,23637,41672,13,0,0,0,0,,2,"(46.137521, -118.913051)","(46.137521, -118.913051)",46.137521,-118.913051,POINT (-118.913051 46.137521),2743,4,23
Alon Asphalt Company - Seattle,2021,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Alon USA LP,Seattle,King,Puget Sound Clean Air Agency,2,0,2,0,0,0,0,0,0,Suspended operations May 2020.,1,"(47.781642, -122.395299)","(47.781642, -122.395299)",47.781642,-122.395299,POINT (-122.395299 47.781642),3213,7,21
Northwest Pipeline Roosevelt C/S - Bickleton,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,28675,0,25056,3605,14,0,0,0,0,,2,"(45.849504, -120.08083)","(45.849504, -120.08083)",45.849504,-120.08083,POINT (-120.08083 45.849504),3195,3,20
Horn Rapids Sanitary Landfill - Richland,2021,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,44472,0,0,44472,0,0,0,0,0,,2,"(46.346663, -119.348118)","(46.346663, -119.348118)",46.346663,-119.348118,POINT (-119.348118 46.346663),2955,4,12
Spokane Waste to Energy Facility - Spokane,2014,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,243511,137090,101051,2094,3276,0,0,0,0,,3,"(47.626529, -117.504278)","(47.626529, -117.504278)",47.626529,-117.504278,POINT (-117.504278 47.626529),3214,5,9
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2016,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,30653,0,0,30653,0,0,0,0,0,,2,"(47.405083, -120.167444)","(47.405083, -120.167444)",47.405083,-120.167444,POINT (-120.167444 47.405083),2979,4,18
Okanogan County Central Landfill - Okanogan,2018,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,14240,0,0,14240,0,0,0,0,0,,1,"(48.341148, -119.620109)","(48.341148, -119.620109)",48.341148,-119.620109,POINT (-119.620109 48.341148),3198,4,18
City of Ellensburg LDC - supplier,2018,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Ellensburg,Ellensburg,Kittitas,Ecology: Central Regional Office,26703,0,26675,13,15,0,0,0,0,,2,,,,,,,,
Marathon Anacortes Refinery - Anacortes,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1344336,0,1335703,4083,4550,0,0,0,0,,4,"(48.493816, -122.564845)","(48.493816, -122.564845)",48.493816,-122.564845,POINT (-122.564845 48.493816),3212,2,43
The Boeing Company - Auburn Site - Auburn,2020,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,34964,0,34925,17,22,0,0,0,0,,2,"(47.285551, -122.242298)","(47.285551, -122.242298)",47.285551,-122.242298,POINT (-122.242298 47.285551),3009,8,14
Northwest Hardwoods Inc. - Longview,2015,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,16719,11074,5492,24,130,0,0,0,0,,1,"(46.114537, -122.916806)","(46.114537, -122.916806)",46.114537,-122.916806,POINT (-122.916806 46.114537),2978,3,26
Fairchild AFB - Spokane Co.,2017,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,12821,0,12808,6,7,0,0,0,0,,1,"(47.641332, -117.644832)","(47.641332, -117.644832)",47.641332,-117.644832,POINT (-117.644832 47.641332),3214,5,9
Puget Sound Energy - Goldendale Generating Station - Goldendale,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,730210,0,729468,338,403,0,0,0,0,,3,"(45.8114, -120.833)","(45.8114, -120.833)",45.8114,-120.833,POINT (-120.833 45.8114),3195,3,20
Cowlitz County Headquarters Landfill - Castle Rock,2020,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,231381,9394,0,221954,34,0,0,0,0,,3,"(46.246902, -122.772284)","(46.246902, -122.772284)",46.246902,-122.772284,POINT (-122.772284 46.246902),2978,3,27
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2020,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,57356,56600,0,109,647,0,0,0,0,,2,"(48.609799, -118.067441)","(48.609799, -118.067441)",48.609799,-118.067441,POINT (-118.067441 48.609799),2741,5,10
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2012,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,36141,0,0,36141,0,0,0,0,0,,2,"(47.405083, -120.167444)","(47.405083, -120.167444)",47.405083,-120.167444,POINT (-120.167444 47.405083),2979,4,18
Cathcart Landfill - Snohomish,2019,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,33268,0,231,33037,0,0,0,0,0,,2,"(47.870014, -122.118284)","(47.870014, -122.118284)",47.870014,-122.118284,POINT (-122.118284 47.870014),3213,1,45
City of Enumclaw Gas Utility - supplier,2016,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Enumclaw,Enumclaw,Pierce,Puget Sound Clean Air Agency,21131,0,21109,10,12,0,0,0,0,Currently Undergoing Verification.,1,,,,,,,,
Gas Transmission Northwest Compressor Station 6 - Rosalia,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,105918,0,105673,185,59,0,0,0,0,,3,"(47.277256, -117.406737)","(47.277256, -117.406737)",47.277256,-117.406737,POINT (-117.406737 47.277256),3214,5,13
U.S. Department of Energy Hanford Site - Richland,2018,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,13510,0,4171,9333,6,0,0,0,0,,1,"(46.55069, -119.489007)","(46.55069, -119.489007)",46.55069,-119.489007,POINT (-119.489007 46.55069),2955,4,12
Ardagh Glass Inc. - Seattle,2012,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,76257,0,76197,27,32,0,0,0,0,,2,"(47.55242, -122.33739)","(47.55242, -122.33739)",47.55242,-122.33739,POINT (-122.33739 47.55242),3009,7,17
Cosmo Specialty Fibers Inc - Cosmopolis,2021,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,488136,433911,48795,3563,1867,0,0,0,0,,3,"(46.952907, -123.76211)","(46.952907, -123.76211)",46.952907,-123.76211,POINT (-123.76211 46.952907),2983,6,26
Star Forge LLC dba Jorgensen Forge - Tukwila,2019,Metals,Other Metals,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,60,0,60,0,0,0,0,0,0,Last year reporting.  Facility shut down.,1,"(47.526872, -122.303906)","(47.526872, -122.303906)",47.526872,-122.303906,POINT (-122.303906 47.526872),3009,9,17
Ash Grove Cement Company - Seattle,2013,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,355314,0,354536,294,484,0,0,0,0,,3,"(47.56799, -122.34255)","(47.56799, -122.34255)",47.56799,-122.34255,POINT (-122.34255 47.56799),3009,7,17
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,115727,0,115607,55,66,0,0,0,0,,3,"(48.4553, -122.435)","(48.4553, -122.435)",48.4553,-122.435,POINT (-122.435 48.4553),3212,2,16
Chehalis Generation Facility - Chehalis,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,371646,0,371268,172,205,0,0,0,0,,3,"(46.6226, -122.9145)","(46.6226, -122.9145)",46.6226,-122.9145,POINT (-122.9145 46.6226),3196,3,27
SDS Lumber Company - Bingen,2012,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,89927,87886,119,750,1173,0,0,0,0,,2,"(45.713913, -121.468688)","(45.713913, -121.468688)",45.713913,-121.468688,POINT (-121.468688 45.713913),3195,3,20
Cascade Natural Gas Corporation LDC - statewide,2017,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,26227,0,116,26111,0,0,0,0,0,,2,"(46.21875, -119.22987)","(46.21875, -119.22987)",46.21875,-119.22987,POINT (-119.22987 46.21875),2955,4,12
U.S. Department of Energy Hanford Site - Richland,2013,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14615,0,4297,10313,5,0,0,0,0,,1,"(46.55069, -119.489007)","(46.55069, -119.489007)",46.55069,-119.489007,POINT (-119.489007 46.55069),2955,4,12
The Boeing Company - Renton,2017,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,20112,0,20092,10,11,0,0,0,0,,1,"(47.498257, -122.211346)","(47.498257, -122.211346)",47.498257,-122.211346,POINT (-122.211346 47.498257),3009,9,38
Georgia-Pacific Consumer Operations LLC - Camas,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,67816,0,61535,6247,35,0,0,0,0,,2,"(45.584271, -122.40843)","(45.584271, -122.40843)",45.584271,-122.40843,POINT (-122.40843 45.584271),2977,3,25
Northwest Pipeline C/S - Mount Vernon,2021,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,54572,0,52205,2338,29,0,0,0,0,,2,"(48.421967, -122.21547)","(48.421967, -122.21547)",48.421967,-122.21547,POINT (-122.21547 48.421967),3212,1,16
Goodrich Corporation - Spokane,2017,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,44750,0,44696,23,30,0,0,0,0,,2,"(47.583604, -117.568511)","(47.583604, -117.568511)",47.583604,-117.568511,POINT (-117.568511 47.583604),3214,5,9
Bonneville Power Administration - WA Only - statewide,2012,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,26927,0,0,0,0,0,0,26927,0,,2,"(45.661178, -122.658608)","(45.661178, -122.658608)",45.661178,-122.658608,POINT (-122.658608 45.661178),2977,3,8
Tree Top - Selah Campus,2017,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,14762,0,14746,7,8,0,0,0,0,,1,"(46.64992, -120.52755)","(46.64992, -120.52755)",46.64992,-120.52755,POINT (-120.52755 46.64992),2746,4,22
Sierra Pacific Industries - Shelton,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Shelton,Mason,Olympic Region Clean Air Agency,41324,40641,140,78,465,0,0,0,0,,2,"(47.213448, -123.096517)","(47.213448, -123.096517)",47.213448,-123.096517,POINT (-123.096517 47.213448),849,10,39
Lamb Weston - Warden,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,13694,0,13680,7,8,0,0,0,0,,1,"(46.971504, -119.055427)","(46.971504, -119.055427)",46.971504,-119.055427,POINT (-119.055427 46.971504),2982,4,19
McCain Foods - Othello,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",,Othello,Adams,Ecology: Eastern Regional Office,89215,0,37044,52150,21,0,0,0,0,,2,"(46.840102, -119.172705)","(46.840102, -119.172705)",46.840102,-119.172705,POINT (-119.172705 46.840102),2953,4,13
Boulder Park Generating Station - Spokane Valley,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,13286,0,13272,6,7,0,0,0,0,,1,"(47.696999, -117.147223)","(47.696999, -117.147223)",47.696999,-117.147223,POINT (-117.147223 47.696999),3214,5,5
Tree Top - Prosser,2012,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,17818,0,17799,8,10,0,0,0,0,,1,"(46.21842, -119.73397)","(46.21842, -119.73397)",46.21842,-119.73397,POINT (-119.73397 46.21842),2955,4,23
HollyFrontier Puget Sound Refinery LLC - Anacortes,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1980495,0,1969285,6794,4416,0,0,0,0,Assigned emissions level to account for calculation methodology changes for the delayed coking unit.,4,"(48.470931, -122.559161)","(48.470931, -122.559161)",48.470931,-122.559161,POINT (-122.559161 48.470931),3212,2,43
Steelscape - Kalama,2015,Metals,Other Metals,331221,Rolled Steel Shape Manufacturing,,Kalama,Cowlitz,Southwest Clean Air Agency,23274,0,23250,11,13,0,0,0,0,,1,"(46.04326, -122.871703)","(46.04326, -122.871703)",46.04326,-122.871703,POINT (-122.871703 46.04326),2978,3,27
Gas Transmission Northwest Compressor Station 6 - Rosalia,2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,75083,0,73574,1468,41,0,0,0,0,,2,"(47.277256, -117.406737)","(47.277256, -117.406737)",47.277256,-117.406737,POINT (-117.406737 47.277256),3214,5,13
Phillips 66 Ferndale Refinery - Ferndale,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,749019,0,745439,1724,1856,0,0,0,0,,3,"(48.830142, -122.692114)","(48.830142, -122.692114)",48.830142,-122.692114,POINT (-122.692114 48.830142),2744,1,44
Puget Sound Energy - Goldendale Generating Station - Goldendale,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Goldendale,Klickitat,Ecology: Central Regional Office,387312,0,386918,179,214,0,0,0,0,,3,"(45.8114, -120.833)","(45.8114, -120.833)",45.8114,-120.833,POINT (-120.833 45.8114),3195,3,20
Cowlitz County Headquarters Landfill - Castle Rock,2016,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,178854,7724,0,171103,28,0,0,0,0,,3,"(46.246902, -122.772284)","(46.246902, -122.772284)",46.246902,-122.772284,POINT (-122.772284 46.246902),2978,3,27
DH Feeders - Eltopia,2015,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15048,0,922,1094,13032,0,0,0,0,,1,"(46.50919, -118.881203)","(46.50919, -118.881203)",46.50919,-118.881203,POINT (-118.881203 46.50919),2981,4,13
The Boeing Company - Renton,2020,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,14794,0,14779,7,8,0,0,0,0,,1,"(47.498257, -122.211346)","(47.498257, -122.211346)",47.498257,-122.211346,POINT (-122.211346 47.498257),3009,9,38
Imerys Minerals Quincy Plant - Quincy,2018,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,22730,0,22706,11,13,0,0,0,0,,1,"(47.239948, -119.838831)","(47.239948, -119.838831)",47.239948,-119.838831,POINT (-119.838831 47.239948),2982,4,19
Sonoco Products - Sumner,2017,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,11361,0,11350,5,6,0,0,0,0,,1,"(47.210641, -122.239474)","(47.210641, -122.239474)",47.210641,-122.239474,POINT (-122.239474 47.210641),3210,10,15
Cascade Natural Gas Corporation LDC - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,10605,0,20,10586,0,0,0,0,0,,1,"(46.21875, -119.22987)","(46.21875, -119.22987)",46.21875,-119.22987,POINT (-119.22987 46.21875),2955,4,12
"Interfor US, Inc. - Port Angeles",2018,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,35595,35126,0,68,402,0,0,0,0,,2,"(48.103425, -123.518642)","(48.103425, -123.518642)",48.103425,-123.518642,POINT (-123.518642 48.103425),2976,6,30
CertainTeed Gypsum - Seattle,2014,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,36299,0,36262,17,20,0,0,0,0,,2,"(47.548056, -122.336944)","(47.548056, -122.336944)",47.548056,-122.336944,POINT (-122.336944 47.548056),3009,7,17
Georgia-Pacific Gypsum LLC - Tacoma,2020,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,38732,0,38692,18,22,0,0,0,0,,2,"(47.269558, -122.394869)","(47.269558, -122.394869)",47.269558,-122.394869,POINT (-122.394869 47.269558),3210,9,11
Puget Sound Energy - Sumas Generating Station - Sumas,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,125472,0,125345,58,69,0,0,0,0,,3,"(48.9905, -122.2733)","(48.9905, -122.2733)",48.9905,-122.2733,POINT (-122.2733 48.9905),2744,1,44
Naval Base Kitsap - Bremerton,2018,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,43240,0,43194,21,25,0,0,0,0,,2,"(47.557047, -122.645933)","(47.557047, -122.645933)",47.557047,-122.645933,POINT (-122.645933 47.557047),848,6,33
Avista Corporation LDC - WA - statewide,2014,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,15252,0,18,15234,0,0,0,0,0,,1,,,,,,,,
