,Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,year
3274,1002804,110000491655.0,J R SIMPLOT CO,OTHELLO,WA,99344,1201 N BROADWAY AVE,ADAMS COUNTY,46.837778,-119.176389,311411,"C,II","Other,Waste",93771.484,44371.0,49375.75,24.734,,,,,,,,,,44416.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49355.0,,,N,N,N,2012
3281,1002832,110040626702.0,J. R. Simplot Co.,Moses Lake,WA,98837,14124 Wheeler Road NE,GRANT COUNTY,47.131732,-119.18926,311411,"C,II","Other,Waste",40687.576,30358.2,10296.0,33.376,,,,,,,,,4537.0,30412.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10274.75,,,N,N,N,2012
3422,1002024,110028047833.0,KIMBERLY CLARK WORLD WIDE,EVERETT,WA,98201,2600 FEDERAL AVENUE,SNOHOMISH,47.985,-122.216111,322110,"AA,C",Pulp and Paper,26746.38,26716.0,12.5,17.88,,,,,,,,,,26746.38,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,N,N,N,2012
3432,1007822,110001916810.0,KING CNTY SOLID WST CEDAR HILLS LANDFILL,MAPLE VALLEY,WA,98038,16645 228TH AVENUE SE,KING COUNTY,47.462625,-122.046025,562212,"C,HH",Waste,12855.196,206.1,12648.5,0.596,,,,,,,,,,206.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12648.5,,,,N,N,N,2012
3462,1002056,110043786285.0,Kaiser Aluminum Washington,Spokane Valley,WA,99216,15000 E Euclid Ave,SPOKANE,47.687074,-117.212673,331315,C,Metals,108363.792,108252.0,51.0,60.792,,,,,,,,,,108363.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3532,1005946,110001916393.0,LAFARGE NORTH AMERICA INC SEATTLE,SEATTLE,WA,98106,5400 WEST MARGINAL WAY SOUTHWEST,KING COUNTY,47.55358,-122.34442,327310,"C,H",Minerals,2095.192,2093.0,1.0,1.192,,,,,,,,,,2095.192,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3546,1000607,110000491619.0,LAMB WESTON,CONNELL,WA,99326,811 GUM STREET,FRANKLIN,46.651389,-118.871944,311411,C,Other,39713.5,39672.4,18.75,22.35,,,,,,,,,,39713.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3548,1000611,110000491593.0,LAMB WESTON INC. PASCO,PASCO,WA,99301,960 GLADE ROAD NORTH,FRANKLIN,46.288137,-119.115336,311411,C,Other,48326.268,48276.4,22.75,27.118,,,,,,,,,,48326.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3560,1004679,110001920636.0,LAND RECOVERY LANDFILL INDUST,GRAHAM,WA,98338,30919 MERIDIAN STREET EAST,PIERCE COUNTY,46.972405,-122.292799,562212,HH,Waste,4329.25,,4329.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329.25,,,,N,N,N,2012
3636,1006454,110000490852.0,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",LONGVIEW,WA,98632,300 FIBRE WAY,COWLITZ COUNTY,46.10361,-122.92167,322130,"AA,C",Pulp and Paper,221024.554,187079.1,11864.25,22081.204,,,,,,,,,1451781.6,119716.556,,,,,,,,,,,,,,,,,,,,,,,,,,,101307.998,,,,,,,,,,N,N,N,2012
3691,1000613,110015451125.0,Lamb Weston Inc,Quincy,WA,98848,1005 E Street SW,GRANT,47.234413,-119.869914,311411,C,Other,39692.8,39651.7,18.75,22.35,,,,,,,,,,39692.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3692,1000614,110000491682.0,Lamb Weston Inc.,RICHLAND,WA,99352,2013 SAINT STREET,BENTON COUNTY,46.309388,-119.297683,311411,C,Other,34603.02,34567.4,16.25,19.37,,,,,,,,,,34603.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
3855,1002287,110000572194.0,MCCAIN FOODS USA INC,OTHELLO,WA,99344,100 LEE STREET,ADAMS,46.839167,-119.174722,311411,"C,II","Other,Waste",107911.392,41847.1,66040.75,23.542,,,,,,,,,,41890.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66021.0,,,N,N,N,2012
4184,1001435,110036123469.0,Mint Farm Generation Station,Longview,WA,98632,1200 Prudential Blvd,COWLITZ COUNTY,46.1403,-122.9842,221112,D,Power Plants,433875.392,433434.8,201.0,239.592,,,,,,,,,,,433875.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
4370,1006360,110000490898.0,NIPPON DYNAWAVE PACKAGING,LONGVIEW,WA,98632,3401 INDUSTRIAL WAY,COWLITZ COUNTY,46.130097,-122.983216,322122,"AA,C",Pulp and Paper,384436.204,352583.0,11150.25,20702.954,,,,,,,,,1296860.1,313866.496,,,,,,,,,,,,,,,,,,,,,,,,,,,70569.708,,,,,,,,,,N,N,N,2012
4407,1007258,110014013174.0,NORTHSIDE LANDFILL,SPOKANE,WA,99208,7202 N NINE MILE RD,SPOKANE COUNTY,47.7275,-117.4828,562212,HH,Waste,10471.0,,10471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10471.0,,,,N,N,N,2012
4415,1007092,110001916936.0,NORTHWEST PIPELINE GP - SNOHOMISH C/S,Snohomish,WA,98390,22902 Echo Lake Road,SNOHOMISH COUNTY,47.78943,-122.05728,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,31456.69,30803.81,635.0,17.88,,,,,,,,,,30835.46,,,,,,,,,,,,,,,,,,,,621.23,,,,,,,,,,,,,,,,,N,N,N,2012
4417,1009017,110055515624.0,NORTHWEST PIPELINE GP GOLDENDALE C/S,Goldendale,WA,99322,120 Hoctor Road,KLICKITAT COUNTY,45.771216,-120.799267,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,27670.45,21904.53,5754.0,11.92,,,,,,,,,,21920.01,,,,,,,,,,,,,,,,,,,,5750.44,,,,,,,,,,,,,,,,,N,N,N,2012
4419,1009161,110001917016.0,NORTHWEST PIPELINE GP MT. VERNON,Mt. Vernon,WA,98295,1539 Lange Road,SKAGIT,48.421952,-122.216523,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,29202.68,20885.03,8302.75,14.9,,,,,,,,,,20899.9,,,,,,,,,,,,,,,,,,,,8302.78,,,,,,,,,,,,,,,,,N,N,N,2012
4420,1007513,110001917034.0,NORTHWEST PIPELINE GP SUMAS C/S,SUMAS,WA,98295,4738 JONES RD,WHATCOM COUNTY,49.001,-122.2214,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,70800.98,64130.49,6631.75,38.74,,,,,,,,,,64191.75,,,,,,,,,,,,,,,,,,,,6609.23,,,,,,,,,,,,,,,,,N,N,N,2012
4450,1000029,110015969941.0,NUCOR STEEL SEATTLE INC,SEATTLE,WA,98106,2424 SOUTHWEST ANDOVER STREET,KING,47.569331,-122.367332,331111,"C,Q",Metals,124468.292,124425.0,19.75,23.542,,,,,,,,,,41766.292,,,,,,,,,,,,82702.0,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
4474,1001816,110006894833.0,Naval Base Kitsap Bremerton,Bremerton,WA,98314,120 South Dewey Street,KITSAP COUNTY,47.559166,-122.647222,488310,C,Other,49575.054,49522.1,23.75,29.204,,,,,,,,,,49575.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
4639,1003586,110005325503.0,OLYMPIC VIEW SANITARY LANDFILL INC,PORT ORCHARD,WA,98367,10015 SOUTHWEST BARNEY WHITE ROAD,KITSAP COUNTY,47.50473,-122.78081,562212,HH,Waste,1546.488825,,1546.488825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.488825,,,,N,N,N,2012
4860,1008018,110000490139.0,PHILLIPS 66 FERNDALE REFINERY,FERNDALE,WA,98248,3901 UNICK ROAD,WHATCOM COUNTY,48.830142,-122.692114,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",800100.012,796021.4,2016.75,2061.862,,,,,,,,,,488023.114,,,,,,,,,,,,,,,,,,,,,,,,,312076.898,,,,,,,,,,,,N,N,N,2012
4928,1005732,110000490326.0,PORT TOWNSEND PAPER CORP,PORT TOWNSEND,WA,98368,100 MILL ROAD,JEFFERSON COUNTY,48.093793,-122.796806,322121,"AA,C",Pulp and Paper,91400.68,79125.0,4331.0,7944.68,,,,,,,,,523000.0,38145.36,,,,,,,,,,,,,,,,,,,,,,,,,,,53255.32,,,,,,,,,,N,N,N,2012
4985,1000001,110000490166.0,PSE Ferndale Generating Station,FERNDALE,WA,98248,5105 LAKE TERRELL ROAD,WHATCOM COUNTY,48.828707,-122.685533,221112,D,Power Plants,14719.108,14310.3,186.5,222.308,,,,,,,,,,,14719.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2012
